query_id,original_query_id,key_id,original_key_id
44,1204,2946,31141365
45,1207,1372,18909530
46,1213,754,14407673
47,1216,2147,24142891
48,1221,1480,19736671
49,1225,5120,9650982
50,1226,597,13777138
51,1232,638,13905670
53,1241,3959,4427392
54,1245,4751,7662395
55,1259,2186,24341590
56,1262,3934,44172171
57,1266,3423,37480103
59,1270,634,13900610
60,1271,593,13768432
61,1272,1143,17081238
62,1273,160,11041152
63,1274,371,12428814
63,1274,2684,27731651
63,1274,3921,4406819
64,1278,197,11335781
65,1279,197,11335781
67,1280,3895,4387784
68,1281,3895,4387784
69,1282,2075,23649163
71,1290,4126,4687948
72,1292,4340,56893404
73,1298,256,11718220
76,1303,398,12631697
77,1316,2700,27910499
78,1319,1038,16284655
80,1320,1038,16284655
82,1332,4268,5304891
83,1335,2700,27910499
84,1336,2700,27910499
85,1337,1548,20231138
86,1339,914,15482274
87,1344,5101,9559146
88,1352,448,12885341
89,1359,239,11614737
90,1362,4855,8290953
91,1363,4855,8290953
92,1368,2169,2425364
94,1370,2169,2425364
95,1379,1043,16322674
95,1379,2619,27123743
95,1379,2054,23557241
95,1379,1189,17450673
96,1382,1229,17755060
97,1385,2904,306006
98,1389,2111,23895668
99,1395,1226,17717391
