id,text
94,Foods With Natural Melatonin
95,Two Kiwifruit an Hour Before Bedtime
96,Breast Cancer and Wine
97,Why Do Vegan Women Have Fewer Female Cancers?
98,When a Scraped Knee May Once Again Kill
99,Why We Should Eat More Beans
100,Egg Industry Caught Making False Claims
101,Male Fertility and Dietary Pollutants
102,Trans Fat in Animal Fat
103,Ginger & Lemon Balm for Radiation Exposure
104,How Risky are CT Scans?
105,Fukushima Radiation and Seafood
106,Tea and Fluoride Risk
107,Does Cranberry Juice Work Against Bladder Infections?
108,How Avoiding Chicken Could Prevent Bladder Infections
109,Preventing Bacterial Vaginosis With Diet
110,Treating Migraines With Lavender
111,Using Lavender to Treat Anxiety
112,Probiotics During Cold Season?
113,Probiotics and Diarrhea
114,Mushrooms and Immunity
115,Raspberries Reverse Precancerous Lesions
116,Strawberries Can Reverse Precancerous Progression
117,Anti-Cancer Nutrient Synergy in Cranberries
118,Which Common Fruit Fights Cancer Better?
119,Half of Doctors Give Placebos
120,Best Nutrition Bang for Your Buck
121,Schoolchildren Should Drink More Water
122,Why Are Eggs Linked to Cancer Progression?
123,Avoid Carnitine and Lethicin Supplements
124,Treating Breast Pain with Flax Seeds
125,Treating Breast Pain With Diet
126,Tarragon Toxicity?
127,Nutmeg Toxicity
128,Industry Influence on Our Dietary Guidelines
129,Flax and Breast Cancer Survival
130,Flax and Breast Cancer Prevention
131,Treating Sensitive Skin From the Inside Out
132,Flaxseeds for Diabetes
133,Flaxseeds for Prostate Cancer
134,Why Is Selling Salmonella-Tainted Chicken Legal?
135,Raisins vs. Energy Gels for Athletic Performance
136,Best Dried Fruit For Cholesterol
137,"Eggs, Cigarettes, and Atherosclerosis"
138,Rooibos & Nettle Tea
139,Hibiscus Tea: The Best Beverage?
140,Treating Parkinson’s Disease With Diet
141,Avoiding Dairy to Prevent Parkinson's
142,The Science on Acai Berries
143,NutritionFacts.org Video Hits a Million Views
144,The Best Way to Prevent the Common Cold?
145,Which Pets Improve Children’s Health?
146,"Vitamin D from Mushrooms, Sun, or Supplements?"
147,Is Coconut Oil Bad For You?
148,Do Vegans Get More Cavities?
149,Head Shrinking from Grilling Meat
150,Broccoli Boosts Liver Detox Enzymes
151,Dr. Greger's New Year-in-Review Presentation
152,Estrogenic Chemicals in Meat
153,Plant-Based Diets for Fibromyalgia
154,Apple Peels Turn On Anticancer Genes
155,Uric Acid From Meat and Sugar
156,Go Nuts for Breast Cancer Prevention
157,Prevent Breast Cancer by Any Greens Necessary
158,Why Less Breast Cancer in Asia?
159,Mushrooms For Breast Cancer Prevention
160,Dr. Greger's Natural Nausea Remedy Recipe
161,Plant-Based Diets for Multiple Sclerosis
162,Plant-Based Diets for Rheumatoid Arthritis
163,How Tumors Use Meat to Grow
164,How to Gain Weight on Diet Soda
165,"Is There a Safe, Low-Calorie Sweetener?"
166,Are Microgreens Healthier?
167,Aspartame: Fibromyalgia & Preterm Birth
168,The Anti-Wrinkle Diet
169,Treadmill Desks: Stand Up For Health
170,Gerson Therapy for Cancer?
171,Are Bioidentical Hormones Safe?
172,Ergothioneine: A New Vitamin?
173,How To Reduce Dietary Antibiotic Intake
174,Countering Dietary Pollutants & Pesticides
175,Protecting Our Babies From Pollutants
176,Saffron vs. Prozac for Depression
177,Treating PMS with Saffron
178,Eating Green to Prevent Cancer
179,What Is the Healthiest Meat?
180,Lead Poisoning Risk From Venison
181,The Real Paleo Diet
182,How Much Soy Is Too Much?
183,Vegan Men: More Testosterone But Less Cancer
184,Cancer-Proofing Your Body
185,Plant-Based Workplace Intervention
186,Biblical Daniel Fast Tested
187,Poultry Paunch: Meat & Weight Gain
188,Diet vs. Exercise: What’s More Important?
189,The Ice Diet
190,Boosting Gut Flora Without Probiotics
191,Burning Fat With Flavonoids
192,Cholesterol Lowering in a Nut Shell
193,The True Shelf Life of Cooking Oils
194,Ractopamine and Yersinia in U.S. Pork
195,How To Boost Serotonin Naturally
196,Magnesium-Rich Foods to Prevent Sudden Death
197,How to Enhance Mineral Absorption
198,Eating To Extend Our Lifespan
199,Kiwi Fruit for Irritable Bowel Syndrome
200,How Much Arsenic In Rice Came From Chickens?
201,How Does Meat Cause Inflammation?
202,Treating Crohn’s Disease With Diet
203,Antioxidants in a Pinch: Dried Herbs and Spices
204,The Most Anti-Inflammatory Mushroom
205,Why is it Legal to Sell Unsafe Meat?
206,Health Food Store Advice: Often Worthless or Worst
207,Adding FDA-Approved Viruses to Meat
208,Preserving Vision Through Diet
209,Skim Milk and Acne
210,Do Eden Beans Have Too Much Iodine?
211,Fighting Inflammation With Food Synergy
212,"Cow’s Milk Casomorphin, Crib Death, and Autism"
213,Treating COPD With Diet
214,Watermelon For Erectile Dysfunction
215,Poultry and Penis Cancer
216,Breast Cancer Survival and Soy
217,Mad Cow California: Is the Milk Supply Safe?
218,Breast Cancer Stem Cells vs. Broccoli
219,The Best Detox
220,Using Greens to Improve Athletic Performance
221,Paula Deen: diabetes drug spokesperson
222,"Amla: Indian gooseberries vs. cancer, diabetes, and cholesterol"
223,Hibiscus tea: flower power
224,Beans and Gas: Clearing the air
225,Alzheimer’s Disease: Up to half of cases potentially preventable
226,Nutrition Education in Medicine: a Doctor a Day Keeps the Apples Away
227,The Best Foods: test your nutrition knowledge
228,Supreme Court case: meat industry sues to keep downed animals in food supply
229,Foie gras ban in California: human health implications
230,Heart disease: there is a cure
231,"Inflammation, Diet, and ""Vitamin S"""
232,NutritionFacts.org: the first month
233,Eating chicken may lead to a smaller penis
234,How much pus is there in milk?
235,Natural Alzheimer's Treatment
236,Physician-assisted suicide? When doctors give nutrition advice
237,Bad Egg
238,Soy and breast cancer: an update
239,Soymilk: shake it up!
240,The Last Heart Attack: Perfect timing for the launch of NutritionFacts.org
241,Welcome to NutritionFacts.org!
242,Hives from Tick Bite-Induced Meat Allergies
243,How a Tick Bite Can Lead to Food Allergies
244,What Do Eggs Do To Our Arteries?
245,Dietary Cholesterol Affects Blood Cholesterol Levels
246,Do Walnuts Really Improve Artery Function?
247,Salmon May Be the Greatest Source of Dietary Pollutants
248,Why Would Eating Fish Increase Diabetes Risk?
249,What does the research say about dietary interventions on women with PCOS?
250,Do algae-based omega-3 supplements contain beta-N-methylamino-L-alanine (BMAA) that has been found in blue-green algae?
251,What are some ways to help reduce the risk of food poisoning from pesticides?
252,Should I stay away from soy if I have breast cancer?
253,Should we take iodine supplements?
254,Have you seen the very recent web blitz on heavy metals (particularly thallium) in cruciferous vegetables (particularly kale)...?
255,Boric acid for vaginal yeast infections?
256,Might too many antioxidants cause cancer?
257,Which foods have the most potassium?
258,"Nutrition recommendations for acid reflux (GERD), heartburn, and Barrett's Esophagus?"
259,"What do you drink, Dr. Greger?"
260,Can you take hydrogen peroxide internally?
261,What is the best way to get vitamin B12?
262,Are green smoothies better for you?
263,Might flax seeds (ALA) increase prostate cancer risk?
264,"What are ""normal"" human vitamin D levels?"
265,What do you think of durian fruit?
266,Are neurotoxins only present in blue-green algae?
267,Nutrition advice to counter the side-effects of glaucoma medications?
268,What are the benefits of reishi mushrooms (Ganoderma lucidum)?
269,"What about gurmar, jamun, bitter melon, and fenugreek?"
270,Is yerba maté tea really bad for you?
271,How did you do the mercury fillings and canned tuna calculation?
272,What's the best diet for atrial fibrillation?
273,My skin is turning orange (carotenoderma)--too many carrots?
274,Does caffeine impair endothelial function in our arteries?
275,What about the oxalic acid in beets?
276,Is hempseed oil beneficial to adults with eczema?
277,What is the healthiest potato?
278,Should we avoid celery to prevent colon cancer?
279,Should we avoid canned tomatoes and non-organic root vegetables?
280,How much cinnamon is too much?
281,Sulfite sensitivity from sulphur dioxide in dried fruits?
282,Can tea with meals hinder iron absorption?
283,What are the best sources of vitamin K?
284,"Any resources for vegan pregnancy, infancy, and childhood?"
285,Dairy and ear infections: is there an association?
286,Is moringa (Moringa oleifera) good for you?
287,Is raw milk healthy?
288,What about the INTERHEART study on heart attack risk factors?
289,Is the new vitamin D3 spray a waste of money?
290,Can Indian gooseberries (amla) be cooked without losing the health benefits?
291,How can I preserve the anti-cancer effects of cooked garlic?
292,Given the “brain-eating amoeba” (Naegleria fowleri) in tap water should I sterilize my neti pot water?
293,Does adding baking soda to soaking beans reduce gas?
294,How much fruit is safe to consume?
295,Are GMOs safe and are the nutrients in our crops declining?
296,What's the best low calorie sweetener?
297,Can Vitamin D supplements help prevent respiratory infections?
298,Second opinion for 8-year-old with anemia?
299,What about getting gas from beans?
300,What is a good source of probiotics?
301,Soy-based (Gardein) vs. mycoprotein-based (Quorn) veggie chicken: which is better?
302,How can I avoid the top 10 leading causes of death?
303,Where does the fat come from in a skinless chicken breast?
304,What is the recommended child requirement for vitamin D?
305,"What is the definition of a ""handful"" serving of nuts?"
306,Could a low-salt diet be bad for your heart?
307,How do you explain never getting Salmonella from eating raw cake batter?
308,What about Semmelweis and medicine's shameful handwashing history?
309,How can we reach out to doctors with this life-saving information?
310,What are the benefits of diet in juvenile rheumatoid arthritis?
311,What is the best diet for kidney stone prevention?
312,Is the plastic chemical BPA really harmful to your health?
313,Do pine needles from a Douglas Fir or redwood provide a good source of antioxidants?
314,Is titanium dioxide in Daiya cheese harmful as a food additive?
315,"What's the best source of those dates you like? (halawi, bahri, khadrawi)"
316,Are there benefits to drinking aloe vera juice?
317,Are homegrown alfalfa sprouts safe?
318,Is licorice tea also harmful?
319,Can soy suppress thyroid function?
320,Are the nutrients from blended vegetables absorbed better than raw vegetables?
321,What about the pollutants like phthalates in plant foods?
322,Can hot peppers (capsaicin) cause cancer?
323,Is cabbage effective against breast cancer?
324,Is thermography better than mammograms for early breast cancer detection?
325,Does “organic” chicken contain less arsenic?
326,Are there any risks of excess vitamin B12 consumption?
327,How do you achieve a good omega 3 to omega 6 fatty acid ratio?
328,Are free-range eggs healthier than conventional eggs?
329,5-alpha pregnanedione
330,A/V ratio
331,abdominal aortic aneurysm
332,abdominal fat
333,abdominal pain
334,Academy of Nutrition and Dietetics
335,acaí berries
336,acesulfame K
337,acetaldehyde
338,acetaminophen
339,acid/base balance
340,acne
341,acromegaly
342,acrylamide
343,acute myeloid leukemia
344,ADHD
345,adipocytes
346,adiponectin
347,adolescence
348,Advanced Glycation End-products
349,Adventist Health Studies
350,affordability
351,Africa
352,agaritine
353,agave nectar
354,Agent Orange
355,aggression
356,aging
357,Ah receptor
358,AIDS
359,air pollution
360,Albert Einstein
361,albumin
362,alcohol
363,alfalfa sprouts
364,algae
365,alkaline diet
366,alkaline water
367,alkylphenols
368,allopurinol
369,almond milk
370,almond oil
371,almonds
372,aloe vera
373,alpha waves
374,alpha-carotene
375,alpha-gal
376,aluminum
377,Alzheimer’s disease
378,AMA
379,amalgam fillings
380,amaranth
381,American Academy of Pediatrics
382,American Cancer Society
383,American College of Cardiology
384,American Diabetes Association
385,American Dietetic Association
386,American Egg Board
387,American Heart Association
388,American Institute for Cancer Research
389,American Meat Institute
390,American Public Health Association
391,amla
392,amphetamines
393,amputations
394,amylase
395,anal fissure
396,anal health
397,Ancel Keys
398,anchovies
399,anemia
400,Angelina Jolie
401,angina
402,angiogenesis
403,angiogram
404,angiography
405,animal fat
406,animal products
407,animal protein
408,anise
409,ankylosing spondylitis
410,antacids
411,Antarctica
412,anthocyanins
413,antiangiogenesis
414,antibiotics
415,antidepressants
416,antioxidants
417,antiperspirant
418,antiseptic
419,anxiety
420,aorta
421,aortic aneurysm
422,apes
423,aphthous ulcers
424,appendicitis
425,apple juice
426,Applebee's
427,apples
428,apricots
429,arachidonic acid
430,areca nuts
431,arginine
432,aromatase
433,aromatherapy
434,arsenic
435,arthritis
436,artichokes
437,artificial colors
438,artificial flavors
439,artificial sweeteners
440,Asia
441,Asian markets
442,asparagus
443,aspartame
444,aspirin
445,asthma
446,astrocytes
447,athletes
448,ATP
449,atrial fibrillation
450,attention deficit
451,Australia
452,autism
453,autoimmune diseases
454,autophagy
455,avian leukosis/sarcoma virus
456,Ayurvedic medicine
457,azarcon
458,b12
459,back pain
460,bacon
461,bacterial vaginosis
462,bacteriophages
463,Bacteroidetes
464,baked beans
465,baking
466,baking soda
467,bamboo shoots
468,bananas
469,barbecuing
470,bargains
471,barley
472,beef
473,beef brains
474,beer
475,beet greens
476,beet juice
477,beets
478,beeturia
479,Belgium
480,benzodiazepines
481,bergamots
482,bergamottin
483,beriberi
484,berries
485,beta carotene
486,beta glucan
487,beta waves
488,beverages
489,BHA
490,bibhitaki fruit
491,biblical teachings
492,Big Mac
493,bile acids
494,Bill Gates
495,billberries
496,biogenic amines
497,biomagnification
498,biomarkers
499,bipolar disorder
500,birth control pills
501,birth defects
502,Biscuit Cake Chocolate and Confectionery Association
503,bison
504,black tea
505,blackberries
506,bladder cancer
507,bladder disease
508,bladder health
509,bladder infections
510,blindness
511,bloating
512,blood donation
513,blood pressure
514,blood sugar
515,blood thinning
516,blood type diet
517,blood-letting
518,blue-green algae
519,blueberries
520,body building
521,body fat
522,body odor
523,boiling
524,bok choy
525,bokhoor
526,bolete mushroom
527,bologna
528,bone health
529,bone marrow health
530,bone mineral density
531,boron
532,Boston
533,botulism
534,bovine leukemia virus
535,bowel movements
536,Bragg Liquid Aminos
537,brain disease
538,brain health
539,brain parasites
540,brain surgery
541,brain tumors
542,brain waves
543,brains
544,bread
545,breakfast
546,breakfast cereal
547,breast cancer
548,breast cancer survival
549,breast development
550,breast disease
551,breast health
552,breastfeeding
553,Brenda Davis
554,brewer's yeast
555,bristle cone pine
556,broad beans
557,broccoli
558,broccoli raab
559,broccoli sprouts
560,brown rice syrup
561,brown sugar
562,Brussels sprouts
563,BT corn
564,buckwheat
565,Buddhists
566,Burger King
567,burgers
568,butcher's warts
569,butter
570,butter flavor
571,buttermilk
572,butternut squash
573,butyrate
574,C-reactive protein
575,C. diff
576,cadavers
577,cadmium
578,caesarean section
579,caffeine
580,cake
581,calcium
582,California
583,California Dried Plum Board
584,calories
585,Camplyobacter
586,Campylobacter
587,Canada
588,cancer
589,cancer stem cells
590,cancer survival
591,cancer viruses
592,Cannabis
593,cannibalism
594,canola
595,cans
596,cantaloupe
597,canthaxanthines
598,capsaicin
599,caramel color
600,cardamom
601,cardiac disease
602,cardiac health
603,cardiovascular disease
604,cardiovascular health
605,carnitine
606,carnitine palmitoyl transferase
607,carob
608,carrots
609,cartilage health
610,casein
611,cashews
612,casomorphin
613,CAT scan
614,cataracts
615,catfish
616,cavities
617,Cayenne pepper
618,CDC
619,celery
620,celery root
621,celiac disease
622,cell death
623,cell phones
624,Center for Science in the Public Interest
625,ceramide
626,cervical cancer
627,cervix health
628,cesium
629,cetuximab
630,chai tea
631,chamomile tea
632,Cheerios
633,cheese
634,cheese effect
635,cheese fly
636,cheese itch
637,cheese mites
638,cheese puffs
639,chemical sensitivities
640,cherries
641,chervil
642,chestnuts
643,chewing
644,chewing gum
645,chia seeds
646,Chick-fil-A
647,chicken
648,children
649,chili peppers
650,Chili's
651,China
652,China Study
653,Chinese food
654,chlorella
655,chlorhexidine
656,chocolate
657,cholera
658,cholesterol
659,choline
660,Chomorro
661,chronic diseases
662,chronic fatigue syndrome
663,ciguatera
664,cirrhosis
665,citric acid
666,citrulline
667,citrus
668,clams
669,Cleveland Clinic
670,cloves
671,cluster headaches
672,Cochrane Collaboration
673,cocoa
674,cocoa butter
675,coconut milk
676,coconut oil
677,coconut water
678,coconuts
679,cod
680,cognition
681,cola
682,colchicine
683,cold hands
684,colibacillosis
685,collard greens
686,colon cancer
687,colon disease
688,common cold
689,complementary medicine
690,computer eye strain
691,Concord grapes
692,constipation
693,Consumers Union
694,contagious pustular dermatitis
695,convenience
696,cooking temperature
697,COPD
698,copper
699,coriander
700,corn
701,corn oil
702,Corn Refiners Association
703,corn syrup
704,cosmic rays
705,cost savings
706,cough
707,coumarin
708,cranberries
709,cranberry juice
710,cream
711,creatine
712,crimini mushrooms
713,Crisco
714,Crohn's disease
715,crowberries
716,cruciferous vegetables
717,cryptoxanthin
718,CSPI
719,CT scan
720,cupcakes
721,curcumin
722,currants
723,curry powder
724,cyanopsia
725,cyclamate
726,cycling
727,cysticercosis
728,dairy
729,dandelion
730,Daniel Fast
731,dark chocolate
732,dark meat
733,DASH diet
734,date sugar
735,dates
736,dehydration
737,deli meat
738,deli meats
739,delta waves
740,dementia
741,Denmark
742,dental health
743,depression
744,DHEA
745,Diabeta
746,diabetes
747,diacetyl
748,diacylglycerol
749,dialysis
750,diarrhea
751,dieldrin
752,digoxin
753,dioxin
754,dioxins
755,dishwashing detergent
756,diverticulitis
757,diverticulosis
758,dizziness
759,DNA damage
760,dopamine
761,douching
762,doughnuts
763,Dow Chemical
764,Dr. Benjamin Feingold
765,Dr. Benjamin Spock
766,Dr. Caldwell Esselstyn
767,Dr. David Jenkins
768,Dr. Denis Burkitt
769,Dr. Joel Fuhrman
770,Dr. John Harvey Kellogg
771,Dr. John McDougall
772,Dr. Neal Barnard
773,Dr. Richard Fleming
774,Dr. Roy Swank
775,Dr. T. Colin Campbell
776,Dr. William Clifford Roberts
777,Dr. William Roberts
778,dragon's blood
779,dressings
780,dried fruit
781,drug residues
782,drug stores
783,drug testing
784,Dutched cocoa
785,dwarfism
786,dyspepsia
787,E. coli
788,E. coli o157:H7
789,ear health
790,ear infections
791,Earl Grey tea
792,Eco-Atkins diet
793,ecstasy
794,eczema
795,edamame
796,Eden Foods
797,EEG
798,Egg Farmers of Canada
799,Egg McMuffin
800,eggplant
801,eggs
802,elderly
803,electroconvulsive therapy
804,elephant garlic
805,ellagic acid
806,emphysema
807,empty calories
808,endometrial cancer
809,endometrial health
810,endometriosis
811,endorphins
812,endothelium
813,endotoxemia
814,endurance
815,enemas
816,energy gels
817,enoki mushrooms
818,enzymes
819,eosinophilia–myalgia syndrome
820,EPA
821,EPIC Study
822,epigenetic changes
823,epilepsy
824,erythritol
825,esophageal cancer
826,esophagus
827,esophagus health
828,essential tremor
829,estrogen
830,ethnicity
831,Europe
832,evolution
833,exercise
834,exotic fruit
835,ExPEC
836,Exponent Inc.
837,extracorporeal membranous oxygenation
838,eye disease
839,eye health
840,fake meat
841,fall risk
842,farm animals
843,farmers
844,fast food
845,fat
846,fatigue
847,FDA
848,feather meal
849,fecal bacteria
850,fecal contamination
851,fecal continence
852,fecal transplant
853,feed additives
854,feline leukemia virus
855,fermented foods
856,fertility
857,fever
858,fiber
859,fibrocystic breast disease
860,fibroids
861,fibromyalgia
862,fiddlehead ferns
863,Firmicutes
864,fish
865,fish oil
866,fish sauce
867,fisitin
868,flame-retardant chemicals
869,flatulence
870,flavonoids
871,flax seeds
872,flesh-eating bacteria
873,flexitarians
874,Flomax
875,flowers
876,fluoride
877,flying foxes
878,FODMAPs
879,food additives
880,food dyes
881,food poisoning
882,food recalls
883,food sensitivities
884,foodborne illness
885,foreign body
886,Forks Over Knives
887,foxglove
888,fragrance
889,Framingham Heart Study
890,France
891,Freedom of Information Act
892,french fries
893,Froot Loops
894,frozen fruit
895,fruit
896,fruit and vegetable wash
897,fruit juice
898,frying
899,FTC
900,Fukushima
901,fungicides
902,gala apples
903,gallbladder disease
904,gallbladder health
905,gallstones
906,gangrene
907,garbanzo beans
908,gargling
909,garlic
910,gastric bypass
911,genital health
912,genital warts
913,Germany
914,Gerson Therapy
915,gestational diabetes
916,giantism
917,ginger
918,gingerols
919,gluten
920,glyburide
921,glycemic index
922,glycoalkaloids
923,glyconutrients
924,glycotoxins
925,glyphosate
926,GMO
927,gold dust retinopathy
928,golden raisins
929,gooseberries
930,gout
931,grains
932,grape juice
933,grape seed oil
934,grapefruit
935,Grave’s disease
936,gravy
937,Great Lakes
938,Greece
939,green beans
940,green tea
941,greens
942,greta
943,guacamole
944,guava
945,Guillain-Barré syndrome
946,gum arabic
947,gut flora
948,gynecomastia
949,Häagen-Dazs
950,hair health
951,halitosis
952,ham
953,hamburgers
954,hand washing
955,happiness
956,haritaki fruit
957,Harmane
958,Harvard
959,hawthorn
960,hay fever
961,hazelnut oil
962,hazelnuts
963,HDL cholesterol
964,head lice
965,head trauma
966,headaches
967,heart disease
968,heart diseases
969,heart failure
970,heart health
971,heart rate variability
972,heartbeat
973,heavy metals
974,Hegsted Equation
975,hemlock
976,hemorrhoids
977,hepatitis
978,hepatitis E
979,hepatotoxins
980,herbal remedies
981,herbal tea
982,Herbalife
983,herring
984,Hershey's
985,hesperidin
986,heterocyclic amines
987,hexachlorobenzene
988,hiatal hernia
989,hibiscus tea
990,high fructose corn syrup
991,histones
992,hives
993,holotranscobalamin
994,holy basil tea
995,homeopathy
996,homocysteine
997,honey
998,honeybush tea
999,hormones
1000,horsemeat
1001,hot dogs
1002,hot flashes
1003,human papilloma virus
1004,Huntington’s disease
1005,hydrogen sulfide
1006,hydrogenated fats
1007,hyperpigmentation
1008,hypertension
1009,hypospadias
1010,iatrogenic
1011,Ibuprofen
1012,ice cream
1013,ice diet
1014,immune function
1015,immunosuppressive drugs
1016,impotence
1017,in vitro studies
1018,incontinence
1019,India
1020,indigestion
1021,Indonesia
1022,industry influence
1023,infant formula
1024,infants
1025,infertility
1026,inflammation
1027,inflammatory bowel disease
1028,informed consent
1029,inner ear cancer
1030,insomnia
1031,Institute of Medicine
1032,insulin
1033,intelligence
1034,INTERHEART study
1035,interleukin-1
1036,internal bleeding
1037,intestinal health
1038,ipecac
1039,IQ4 5b
1040,Ireland
1041,iron
1042,irritable bowel syndrome
1043,isoflavones
1044,Israel
1045,Jack Norris
1046,jasmine tea
1047,jaundice
1048,jelly beans
1049,Jerusalem artichokes
1050,Johns Hopkins University
1051,joint disease
1052,joint health
1053,Judaism
1054,Kaiser Permanente
1055,kale
1056,kangaroo meat
1057,Kaposi’s sarcoma
1058,kelp
1059,keriorrhea
1060,ketogenic agent AC-1202
1061,KFC
1062,kidney cancer
1063,kidney disease
1064,kidney failure
1065,kidney function
1066,kidney health
1067,kidney stones
1068,kimchi
1069,kingdom
1070,kombu
1071,kombucha tea
1072,Korea
1073,Kraft
1074,Kuna Indians
1075,lactation
1076,lactic acid
1077,lactose
1078,Laron syndrome
1079,lasers
1080,lauric acid
1081,lavender
1082,laxatives
1083,LDL cholesterol
1084,lead
1085,leaky gut theory
1086,legumes
1087,lemon verbena
1088,lemonbalm
1089,lemongrass
1090,lemons
1091,lentil effect
1092,lentils
1093,leptin
1094,leukemia
1095,lichen planus
1096,licorice
1097,lifespan
1098,Lifestyle medicine
1099,lignans
1100,lima beans
1101,limes
1102,Linguatula serrate
1103,Lipitor
1104,liposuction
1105,lipotoxicity
1106,lipotoxicty
1107,liquid smoke
1108,Listeria
1109,liver
1110,liver failure
1111,liver health
1112,liver inflammation
1113,Loma Linda University
1114,Long Island
1115,longevity
1116,Lou Gehrig's disease
1117,Louis Pasteur
1118,low-fat diets
1119,lower back pain
1120,lox
1121,lung cancer
1122,lung disease
1123,lung health
1124,lutein
1125,luteolin
1126,lymphoma
1127,Lyon Diet Heart Study
1128,M&M's
1129,macadamia nuts
1130,macadamia oil
1131,mackerel
1132,macular degeneration
1133,mad cow disease
1134,Maimonides
1135,malaria
1136,Malaysia
1137,maltodextrin
1138,manganese
1139,mango
1140,mangosteen
1141,manure
1142,maraschino cherry
1143,Marek's disease virus
1144,margarine
1145,Marion Nestle
1146,marketing
1147,marshmallows
1148,massage
1149,mastalgia
1150,matcha
1151,maté
1152,Mayo Clinic
1153,McDonald’s
1154,meat
1155,meat analogs
1156,meat glue
1157,Meatless Mondays
1158,medical profession
1159,Medicare
1160,medications
1161,meditation
1162,Mediterranean diet
1163,medium-chain fatty acids
1164,melanoma
1165,melatonin
1166,men's health
1167,menarche
1168,Meningioma
1169,menopause
1170,menstruation
1171,mental health
1172,mercury
1173,mesclun mix
1174,meta-analysis
1175,metabolic syndrome
1176,Metabolife
1177,metabolism
1178,Metamucil
1179,metastases
1180,metastatic calcification
